time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum,es,ea,vpd,delta,giorno_anno,ra,rso,rns,rapporto_nuvolosita,rnl,rn,u2,et0,giorni_da_semina,kc,etc
2024-06-15,26.2,16.2,21.2,70,14.7,23.97,0.0,2.621515869977017,1.835061108983912,0.7864547609931052,0.1544040611111723,167,41.87786538331225,31.446089116329166,18.4569,0.7622569506601372,3.7647045873164373,14.692195412683564,10.994880804968778,5.717414182405415,51,1.097142857142857,6.2728201315533685
2024-06-16,25.6,15.8,20.8,75,8.3,26.04,0.1,2.5389797257318234,1.9042347942988676,0.6347449314329559,0.15112394383600908,168,41.89262958671108,31.45717555666135,20.0508,0.8277920550462702,4.126557219678732,15.924242780321267,6.207993923893937,4.980168254454691,52,1.1228571428571428,5.592017497144838
2024-06-17,27.2,16.7,22.1,71,9.1,27.49,0.0,2.754291805699725,1.9555471820468047,0.7987446236529203,0.16200493064816465,169,41.903125822451535,31.46505718007886,21.1673,0.8736675685243773,4.45703674628963,16.710263253710373,6.806354784028291,5.768398826213371,53,1.1485714285714284,6.625418080393642
2024-06-18,29.1,17.6,23.5,74,9.0,26.81,0.0,3.020765482943246,2.235366457378002,0.7853990255652441,0.1744556200862177,170,41.90935415159125,31.469734032429873,20.6437,0.851929665893332,3.9716194261984508,16.672080573801548,6.731559676511497,5.729157941147404,54,1.1742857142857142,6.7276683251759515
2024-06-19,29.5,18.7,24.5,76,8.6,25.45,0.0,3.1397437247284214,2.3862052307936,0.7535384939348213,0.183835009120509,171,41.91131541799689,31.471206747373863,19.5965,0.8086756953520282,3.520484163629767,16.07601583637023,6.432379246444319,5.506747031346711,55,1.2,6.6080964376160525
2024-06-20,29.1,21.5,25.3,74,16.9,20.71,0.0,3.296652071957309,2.4395225332484087,0.8571295387089002,0.19164125727803297,172,41.90901124730401,31.469476545600582,15.946700000000002,0.6580980134826948,2.544155986504081,13.40254401349592,12.640373170338254,5.924173187686321,56,1.2,7.1090078252235855
2024-06-21,29.1,18.8,24.2,81,17.5,23.7,1.8,3.0995046323863917,2.5105987522329776,0.5889058801534142,0.18097760754015932,173,41.90244404531165,31.464545233624516,18.249,0.7532287475959781,3.0162066090452218,15.232793390954777,13.089143815439023,4.92300705432603,57,1.2,5.9076084651912355
2024-06-22,28.5,18.4,22.9,75,18.7,26.24,0.0,3.003927168776748,2.252945376582561,0.750981792194187,0.1690242275340923,174,41.89161699579719,31.456415202144115,20.2048,0.8341700677390423,3.8315817174404203,16.373218282559577,13.986685105640555,5.895006298248791,58,1.2,7.0740075578985495
2024-06-23,20.3,17.1,18.7,89,18.2,9.67,19.9,2.1660513001681045,1.927785657149613,0.2382656430184915,0.13485343802414038,175,41.87653405774874,31.44508942396353,7.4459,0.3075201939998533,0.3375835319270635,7.108316468072936,13.612709568056582,2.073564780486891,59,1.2,2.4882777365842688
2024-06-24,24.3,16.4,19.3,88,16.0,14.43,39.7,2.451668913972739,2.1574686442960105,0.2942002696767285,0.13934302147270944,176,41.85719996202389,31.43057145148374,11.1111,0.4591071473922821,1.320503989152661,9.79059601084734,11.967217202687106,2.678527679514759,60,1.2,3.214233215417711
2024-06-25,23.6,17.0,19.9,88,16.1,17.56,21.1,2.425376176105231,2.134331034972603,0.2910451411326278,0.1439585042553502,177,41.833620207455596,31.41286541377841,13.521199999999999,0.5590066289303801,1.994877980736079,11.526322019263919,12.042012310203901,2.881845612538919,61,1.2,3.4582147350467025
2024-06-26,25.6,17.0,21.1,82,5.6,23.69,2.0,2.610250260823687,2.140405213875423,0.4698450469482638,0.15357844313412952,178,41.80580105643696,31.391976013278516,18.241300000000003,0.7546514430942274,3.336662316001498,14.904637683998505,4.188526020940487,4.232279145881915,62,1.2,5.078734975058297
2024-06-27,29.4,17.7,23.6,76,9.3,27.45,0.0,3.0622921869455917,2.3273420620786496,0.7349501248669421,0.1753750103078545,179,41.77374953002796,31.367908522098,21.1365,0.8750981908998517,4.003347264704011,17.13315273529599,6.955944999061881,5.651338769796595,63,1.2,6.781606523755914
2024-06-28,30.6,20.0,25.3,74,9.7,27.33,0.0,3.3647866088221208,2.4899420905283693,0.8748445182937514,0.19164125727803297,180,41.737473402637725,31.34066877804067,21.0441,0.8720298916897775,3.839908695971195,17.204191304028804,7.255125429129057,6.199860166279695,64,1.2,7.439832199535633
2024-06-29,30.6,22.3,26.2,80,15.2,21.72,0.2,3.541978249876717,2.8335825999013737,0.7083956499753432,0.20075515809842714,181,41.69698119634542,31.310263180335777,16.7244,0.6937022494796886,2.4203677760597935,14.304032223940206,11.36885634255275,5.305694763924983,65,1.2,6.366833716709979
